Designator,Mid X,Mid Y,Rotation,Layer
BT1,151.72,-66.6,0.0,top
C19,183.235,-53.62,0.0,top
C20,175.394998,-48.6025,180.0,top
C21,170.425,-54.64,270.0,top
C22,183.415,-51.825,0.0,top
C23,180.165,-53.625,180.0,top
C24,179.9,-58.41,180.0,top
C25,168.655,-106.59,270.0,top
C26,154.49,-100.79,90.0,top
C27,160.96,-99.65,0.0,top
C28,167.595,-106.59,90.0,top
C29,167.055,-108.959999,270.0,top
C30,156.41,-100.79,270.0,top
C31,173.6,-99.81,180.0,top
C33,186.530246,-55.55,90.0,top
C34,165.035,-109.949998,90.0,top
C35,166.535,-103.21,180.0,top
C36,160.835,-109.39,0.0,top
C37,166.545,-106.59,90.0,top
C38,155.45,-100.79,270.0,top
C39,158.93,-99.65,0.0,top
C40,158.110002,-109.39,180.0,top
C41,164.66,-99.65,180.0,top
C42,150.75,-54.75,90.0,top
C45,151.78,-60.08,180.0,top
C46,187.15,-62.37,90.0,top
C5,149.559459,-101.875489,90.0,top
C6,152.25,-105.16,180.0,top
D1,180.93,-102.79,270.0,top
J1,167.527267,-46.695,180.0,top
L1,170.23,-106.4,270.0,top
L3,176.665,-45.9225,180.0,top
LED1,149.027267,-59.4,90.0,top
LED2,186.5,-59.4,90.0,top
Q1,178.305001,-104.93,90.0,top
R1,175.58,-99.82,180.0,top
R11,179.9,-55.3,0.0,top
R12,179.9,-56.875,180.0,top
R2,177.49,-99.82,0.0,top
R23,166.045,-108.959999,270.0,top
R3,180.08,-99.66,180.0,top
R4,178.43,-102.01,180.0,top
R49,154.8,-104.145,90.0,top
R50,166.545,-105.1,0.0,top
R51,166.545,-104.15,180.0,top
R52,165.777267,-53.79,270.0,top
R53,168.777267,-53.79,90.0,top
R54,171.125,-99.81,0.0,top
R55,167.125,-99.81,180.0,top
R6,172.63,-56.1,270.0,top
R7,177.225,-56.1,270.0,top
R8,175.693333,-56.1,270.0,top
R9,174.161667,-56.1,270.0,top
SW1,171.143348,-110.469312,9.0,top
U1,174.75,-103.84,0.0,top
U14,161.08,-104.3,0.0,top
U2,183.605,-56.34,180.0,top
U3,184.33,-101.83,270.0,top
U5,176.094998,-52.11,0.0,top
Y1,152.165144,-102.20429,90.0,top
Y2,177.75,-108.5,0.0,top
